@relation GestureTraining

@attribute MFCC_0 numeric
@attribute MFCC_1 numeric
@attribute MFCC_2 numeric
@attribute MFCC_3 numeric
@attribute MFCC_4 numeric
@attribute MFCC_5 numeric
@attribute MFCC_6 numeric
@attribute MFCC_7 numeric
@attribute MFCC_8 numeric
@attribute MFCC_9 numeric
@attribute MFCC_10 numeric
@attribute MFCC_11 numeric
@attribute MFCC_12 numeric
@attribute MFCC_13 numeric
@attribute MFCC_14 numeric
@attribute MFCC_15 numeric
@attribute MFCC_16 numeric
@attribute MFCC_17 numeric
@attribute MFCC_18 numeric
@attribute MFCC_19 numeric
@attribute MFCC_20 numeric
@attribute MFCC_21 numeric
@attribute MFCC_22 numeric
@attribute MFCC_23 numeric
@attribute MFCC_24 numeric
@attribute MFCC_25 numeric
@attribute MFCC_26 numeric
@attribute MFCC_27 numeric
@attribute MFCC_28 numeric
@attribute MFCC_29 numeric
@attribute MFCC_30 numeric
@attribute MFCC_31 numeric
@attribute MFCC_32 numeric
@attribute MFCC_33 numeric
@attribute MFCC_34 numeric
@attribute MFCC_35 numeric
@attribute MFCC_36 numeric
@attribute MFCC_37 numeric
@attribute MFCC_38 numeric
@attribute MFCC_39 numeric
@attribute MFCC_40 numeric
@attribute MFCC_41 numeric
@attribute MFCC_42 numeric
@attribute MFCC_43 numeric
@attribute MFCC_44 numeric
@attribute MFCC_45 numeric
@attribute MFCC_46 numeric
@attribute MFCC_47 numeric
@attribute MFCC_48 numeric
@attribute MFCC_49 numeric
@attribute MFCC_50 numeric
@attribute MFCC_51 numeric
@attribute MFCC_52 numeric
@attribute MFCC_53 numeric
@attribute MFCC_54 numeric
@attribute MFCC_55 numeric
@attribute MFCC_56 numeric
@attribute MFCC_57 numeric
@attribute MFCC_58 numeric
@attribute MFCC_59 numeric
@attribute MFCC_60 numeric
@attribute MFCC_61 numeric
@attribute MFCC_62 numeric
@attribute MFCC_63 numeric
@attribute MFCC_64 numeric
@attribute MFCC_65 numeric
@attribute MFCC_66 numeric
@attribute MFCC_67 numeric
@attribute MFCC_68 numeric
@attribute MFCC_69 numeric
@attribute MFCC_70 numeric
@attribute MFCC_71 numeric
@attribute MFCC_72 numeric
@attribute MFCC_73 numeric
@attribute MFCC_74 numeric
@attribute MFCC_75 numeric
@attribute MFCC_76 numeric
@attribute MFCC_77 numeric
@attribute @@class@@ {bottomcenter,clockwise,counterclockwise,right,left,swipeleft,topcenter}

@data
3078.67745,-156.781866,23.563111,-46.721912,77.225242,-101.603874,43.978059,-53.936968,46.867663,-84.650975,62.184769,-70.355767,60.389256,-65.064785,76.137219,-57.433047,59.484288,-55.0122,60.329796,-47.079968,46.069488,-32.408848,30.828096,-26.237507,12.637126,-4.861132,-560.178978,62.672901,117.502815,51.947175,210.735115,-105.843185,119.990986,-27.868257,99.141477,-122.239325,98.925037,-89.556567,77.706157,-105.602872,94.271985,-78.024303,76.909555,-72.83831,80.361181,-59.439012,52.529342,-37.079796,45.218118,-30.58299,21.10495,-5.915541,3638.856428,-219.454767,-93.939705,-98.669087,-133.509873,4.239311,-76.012927,-26.068711,-52.273814,37.58835,-36.740267,19.2008,-17.316901,40.538086,-18.134765,20.591256,-17.425267,17.82611,-20.031385,12.359044,-6.459854,4.670948,-14.390023,4.345484,-8.467824,1.054408,bottomcenter
3170.629847,-191.429738,38.168599,-56.464128,55.186862,-89.822798,42.929196,-46.064392,49.519911,-72.916281,59.342881,-74.677449,45.711351,-72.10046,55.012003,-65.736894,57.524818,-53.857575,45.695921,-49.571281,42.66562,-31.05626,29.159699,-20.698325,16.054461,-8.999567,-216.020568,62.04568,163.968156,27.356147,190.217778,-117.571785,94.242206,-32.966777,92.510766,-122.81997,104.131908,-84.552277,70.592962,-101.023452,99.828443,-75.582736,76.06869,-69.047168,85.797169,-63.842719,53.709365,-34.181289,44.850798,-31.93684,17.878772,-5.76948,3386.650415,-253.475418,-125.799556,-83.820275,-135.030915,27.748987,-51.31301,-13.097614,-42.990855,49.903689,-44.789027,9.874828,-24.881612,28.922992,-44.81644,9.845842,-18.543872,15.189593,-40.101248,14.271438,-11.043744,3.125029,-15.691099,11.238515,-1.824311,-3.230087,bottomcenter
2608.940181,-128.240973,28.927766,-41.654501,64.413294,-95.041855,41.22158,-34.612617,41.65454,-77.057155,44.364606,-58.869279,52.541929,-49.168865,63.302041,-53.29688,49.974432,-41.770298,48.692306,-44.111586,34.814227,-26.138123,25.759977,-21.352214,13.021251,-5.141969,-1049.197383,58.95546,125.060387,55.722743,196.088309,-88.517792,112.897778,-22.433834,91.276413,-108.952621,93.254688,-85.905702,63.267734,-94.483885,90.151852,-75.914533,73.241764,-60.587124,75.796999,-51.262014,51.41808,-36.466012,39.011865,-28.20804,18.039914,-2.344032,3658.137565,-187.196432,-96.132621,-97.377244,-131.675015,-6.524062,-71.676198,-12.178783,-49.621873,31.895466,-48.890082,27.036423,-10.725804,45.31502,-26.849811,22.617652,-23.267332,18.816827,-27.104693,7.150428,-16.603853,10.327889,-13.251887,6.855826,-5.018663,-2.797937,bottomcenter
2874.922615,-33.879475,39.929622,-73.388844,83.734097,-141.867898,72.784,-66.856705,61.308431,-101.995698,79.852651,-83.744343,68.201772,-80.117992,83.423786,-75.393892,74.050623,-60.37572,64.654699,-56.483984,54.195426,-39.779727,33.164617,-29.871475,16.426905,-9.406068,-418.019911,60.506942,120.008464,57.086005,215.395489,-107.320294,153.729987,-50.595787,109.508405,-121.487624,106.726234,-113.124917,70.2246,-106.120565,115.668106,-87.775368,95.323173,-71.84312,85.822403,-68.854196,60.184639,-45.481233,40.825775,-34.575758,19.117883,-4.955893,3292.942526,-94.386417,-80.078842,-130.474848,-131.661392,-34.547605,-80.945987,-16.260918,-48.199975,19.491925,-26.873583,29.380574,-2.022828,26.002574,-32.24432,12.381475,-21.272549,11.467401,-21.167704,12.370212,-5.989213,5.701507,-7.661158,4.704283,-2.690978,-4.450175,bottomcenter
3634.55182,-252.994582,44.518446,-66.750147,59.696363,-123.516038,23.801386,-48.709279,37.48505,-82.998845,60.54962,-69.067392,46.642708,-68.868631,61.299129,-65.082598,59.19273,-51.124371,53.280887,-48.603854,43.490413,-34.716522,25.722441,-24.572781,16.553697,-6.310244,-437.278469,128.256535,197.300055,17.212586,212.689114,-114.75517,138.668155,-22.064315,129.836757,-140.193652,103.172297,-125.205104,75.960597,-105.822677,128.111074,-87.968497,98.041386,-77.306604,85.830578,-71.13276,61.600522,-49.465751,50.013267,-31.267157,21.836564,-6.617936,4071.830289,-381.251117,-152.781609,-83.962733,-152.992751,-8.760868,-114.866769,-26.644964,-92.351707,57.194808,-42.622678,56.137711,-29.317889,36.954046,-66.811945,22.8859,-38.848656,26.182233,-32.549692,22.528906,-18.11011,14.749229,-24.290826,6.694376,-5.282867,0.307692,bottomcenter
3490.087564,-164.538345,57.122487,-49.219216,81.178901,-92.288784,56.380152,-59.635521,53.470024,-85.065305,56.221155,-71.054035,57.750003,-68.334925,67.807825,-62.013034,63.557724,-55.323271,56.412267,-52.562728,43.281629,-38.037796,32.188534,-24.502516,17.575304,-6.146993,-417.060776,102.75381,229.416171,17.842484,167.664034,-96.292908,105.221027,-84.724429,85.985933,-108.776419,109.282898,-101.404777,77.204637,-92.604558,96.958174,-78.765339,89.880841,-68.366004,72.303068,-64.820647,58.934259,-43.18851,41.756478,-34.220452,23.227621,-7.929236,3907.14834,-267.292155,-172.293684,-67.0617,-86.485132,4.004124,-48.840875,25.088909,-32.515909,23.711114,-53.061743,30.350742,-19.454635,24.269633,-29.150349,16.752305,-26.323117,13.042732,-15.890801,12.257919,-15.65263,5.150714,-9.567944,9.717935,-5.652317,1.782243,bottomcenter
2944.328257,-265.16264,9.118245,-60.953595,57.722073,-88.274651,34.132622,-34.710416,31.94088,-71.95139,60.276885,-53.23606,35.143836,-47.845339,59.139975,-52.302181,57.731328,-38.922025,45.596772,-37.908502,41.812326,-28.754001,26.499945,-14.95756,14.757785,-4.583709,-656.15794,-28.495867,123.852814,88.585246,159.310737,-67.222229,148.152773,-57.88201,84.996582,-88.67586,85.690331,-104.271756,66.398846,-92.945088,83.579496,-82.006472,74.947928,-63.128754,73.066564,-53.837318,51.628232,-41.44244,36.171006,-28.711128,21.197999,-5.512979,3600.486197,-236.666773,-114.734569,-149.538841,-101.588664,-21.052423,-114.020151,23.171594,-53.055703,16.72447,-25.413446,51.035696,-31.255011,45.099749,-24.439521,29.704291,-17.2166,24.206729,-27.469791,15.928816,-9.815906,12.68844,-9.671061,13.753568,-6.440213,0.929269,bottomcenter
3392.437805,-243.746034,24.033447,-57.855545,53.928121,-104.729833,19.594586,-56.56509,24.802743,-73.518561,54.736915,-59.052824,41.484966,-58.27521,53.729323,-49.892283,58.034535,-46.832186,41.438457,-43.058648,43.419924,-29.520555,26.723979,-24.116587,15.083471,-5.372805,-615.118269,56.057238,164.187791,36.306425,209.325708,-104.416573,117.650226,-23.949552,91.813896,-123.788405,101.12744,-98.725216,75.238025,-97.074598,99.666934,-88.714553,89.508521,-71.743948,77.673764,-55.998192,60.050614,-41.853316,36.738016,-28.188085,18.215462,-9.230348,4007.556074,-299.803272,-140.154344,-94.16197,-155.397587,-0.31326,-98.055639,-32.615538,-67.011153,50.269844,-46.390525,39.672392,-33.753059,38.799388,-45.93761,38.82227,-31.473986,24.911762,-36.235307,12.939544,-16.630691,12.332762,-10.014037,4.071498,-3.131991,3.857544,bottomcenter
3528.313129,-161.148134,6.79114,-65.610574,96.276207,-138.23231,58.544359,-59.631729,58.198527,-108.7927,77.552244,-95.49549,61.375992,-79.234735,81.926071,-76.578928,71.876184,-64.131597,60.510458,-59.27088,55.585735,-37.726127,36.888031,-29.106991,15.914518,-9.367382,-188.164845,71.893952,183.328095,50.882664,242.215692,-121.146025,151.169264,-51.169968,129.298115,-124.1871,129.981744,-122.579155,98.386296,-104.421969,130.132296,-90.444781,110.728804,-86.983889,94.270565,-75.100983,68.110363,-54.805574,44.583398,-34.55291,24.706023,-11.073787,3716.477974,-233.042086,-176.536955,-116.493239,-145.939485,-17.086285,-92.624905,-8.461761,-71.099588,15.3944,-52.4295,27.083665,-37.010304,25.187235,-48.206225,13.865853,-38.852621,22.852292,-33.760107,15.830103,-12.524628,17.079446,-7.695367,5.44592,-8.791505,1.706405,bottomcenter
2874.477118,-33.078204,35.726757,-24.348708,109.802458,-127.987861,76.50844,-53.739923,73.337788,-114.116345,79.095901,-73.069918,72.38389,-91.779888,88.425834,-59.497804,70.727508,-64.754477,72.58643,-57.720547,49.870822,-36.594318,38.402892,-29.728647,17.926853,-5.798276,-665.617903,144.244572,130.826952,50.757701,222.860849,-132.635325,144.43269,-40.971586,120.015969,-148.176489,106.629874,-103.168843,92.003273,-120.894367,124.592685,-88.772718,98.035785,-84.223981,91.162105,-70.236089,55.537071,-49.351897,51.603117,-37.712958,19.808515,-8.224476,3540.095021,-177.322776,-95.100196,-75.106409,-113.058391,4.647464,-67.92425,-12.768337,-46.67818,34.060144,-27.533972,30.098925,-19.619383,29.114479,-36.166851,29.274914,-27.308277,19.469504,-18.575675,12.515541,-5.666249,12.757579,-13.200225,7.984311,-1.881662,2.4262,bottomcenter
